"date","out.ch","out_incl_losses.ch","in.ch"
"2017-11-22 00:00:00",178652355.989,194069916.543,149956720.27
"2017-11-23 00:00:00",177614558.368,194142465.42,146031749.303
"2017-11-24 00:00:00",172805281.915,190642647.783,151717511.502
"2017-11-25 00:00:00",157384356.802,187141069.847,103514949.532
"2017-11-26 00:00:00",156720682.723,188958536.922,106026427.123
"2017-11-27 00:00:00",187282354.052,204228532.155,155673059.671
"2017-11-28 00:00:00",189561093.497,203523579.873,174272632.838
"2017-11-29 00:00:00",192351647.622,206854084.21,196399259.195
"2017-11-30 00:00:00",196265734.273,210383185.834,187931522.163
"2017-12-01 00:00:00",195508302.383,207148413.321,192557915.115
"2017-12-02 00:00:00",174416831.452,183935704.782,155595014.849
"2017-12-03 00:00:00",164005452.108,189324988.13,113126635.312
"2017-12-04 00:00:00",193472830.174,213169390.725,180319132.94
"2017-12-05 00:00:00",192858467.342,209182269.425,189883071.854
"2017-12-06 00:00:00",197401991.305,214046566.882,197577916.72
"2017-12-07 00:00:00",194428744.774,209510455.331,197866012.834
"2017-12-08 00:00:00",188715460.183,207135700.628,156881656.176
"2017-12-09 00:00:00",177056895.77,192409404.084,143788829.514
"2017-12-10 00:00:00",169679914.549,198793942.424,107870400.837
"2017-12-11 00:00:00",191739233.506,217393542.337,160733414.699
"2017-12-12 00:00:00",196755780.156,221242868.478,207472803.745
"2017-12-13 00:00:00",198259691.46,216083107.431,200002595.238
"2017-12-14 00:00:00",194881950.944,213218153.253,182621339.903
"2017-12-15 00:00:00",191086583.912,214801475.432,140088494.56
"2017-12-16 00:00:00",173994593.158,204754197.995,112691971.596
"2017-12-17 00:00:00",165835542.71,202074206.392,106126965.311
"2017-12-18 00:00:00",196898034.222,217326179.677,178167753.096
"2017-12-19 00:00:00",196357337.805,212578890.218,188971616.479
"2017-12-20 00:00:00",193729272.993,204339862.19,198101929.449
"2017-12-21 00:00:00",189226910.375,201334139.665,176296354.141
"2017-12-22 00:00:00",179060004.993,191102557.174,145716681.047
"2017-12-23 00:00:00",157324374.338,182886908.912,126562352.054
"2017-12-24 00:00:00",148379697.56,173986427.404,120500297.065
"2017-12-25 00:00:00",147242748.054,182700523.911,118867479.148
"2017-12-26 00:00:00",152390508.069,179409036.686,120053800.596
"2017-12-27 00:00:00",166180833.019,188753678.432,129857689.95
"2017-12-28 00:00:00",170102906.968,191543764.643,143952500.801
"2017-12-29 00:00:00",171126067.896,188165058.059,133697086.653
"2017-12-30 00:00:00",157722678.521,179618294.887,125792051.951
"2017-12-31 00:00:00",140186619.122,181528469.321,126785321.769
"2018-01-01 00:00:00",139927411.814,183984057.666,127748995.303
"2018-01-02 00:00:00",153559192.178,180945432.346,132556012.027
"2018-01-03 00:00:00",168657545.232,187687732.095,142596724.617
"2018-01-04 00:00:00",171719873.696,196182529.521,143323448.177
"2018-01-05 00:00:00",164831246.978,186636976.68,154708596.086249
"2018-01-06 00:00:00",150831471.013,175159502.783,138180390.349
"2018-01-07 00:00:00",144124038.516,177066468.737,136677919.852
"2018-01-08 00:00:00",175605203.897,194770688.906,171850790.768225
"2018-01-09 00:00:00",179983626.033,199545209.059,170988263.640522
"2018-01-10 00:00:00",183767376.878,200607006.42,165699673.904836
"2018-01-11 00:00:00",182151465.79,199107560.35,173727411.921305
"2018-01-12 00:00:00",184889073.008,201755539.801,172589446.045
"2018-01-13 00:00:00",164164947.77,183993416.314,151221398.404738
"2018-01-14 00:00:00",159719019.731,180072884.239,141176759.837818
"2018-01-15 00:00:00",187891761.221,206815391.599,176036707.909875
"2018-01-16 00:00:00",186514474.642,203227724.27,170586360.742803
"2018-01-17 00:00:00",192107774.741,209508870.883,175156933.372306
"2018-01-18 00:00:00",191446892.282,204986529.448,173602165.447031
"2018-01-19 00:00:00",186636275.171,202761193.143,168947677.340945
"2018-01-20 00:00:00",168589162.154,182303743.825,149293153.2634
"2018-01-21 00:00:00",156563240.651,179843480.443,136862324.218047
"2018-01-22 00:00:00",184511883.985,204197630.666,175373731.507531
"2018-01-23 00:00:00",182679936.493,196504326.964,174818667.201603
"2018-01-24 00:00:00",182050191.833,196585452.327,166957739.951249
"2018-01-25 00:00:00",181328498.268,194833396.032,179367839.898567
"2018-01-26 00:00:00",180966530.136,195591526.115,177990607.235577
"2018-01-27 00:00:00",159528771.056,175322510.582,145376801.630672
"2018-01-28 00:00:00",147609801.087,165653880.164,139127124.157166
"2018-01-29 00:00:00",177781414.723,195031955.454,190318830.380914
"2018-01-30 00:00:00",179293594.636,195842716.795,176772221.855101
"2018-01-31 00:00:00",179181779.606,194607490.144,171156930.566511
"2018-02-01 00:00:00",185533850.476,204718811.584,178737410.734228
"2018-02-02 00:00:00",184951419.884,203804425.451,169215633.108723
"2018-02-03 00:00:00",165909791.813,188906384.453,145674964.168279
"2018-02-04 00:00:00",156143439.006,185795550.874,134119396.556098
"2018-02-05 00:00:00",188132622.012,207819105.929,182679590.351658
"2018-02-06 00:00:00",190437185.403,203732878.154,199652623.274838
"2018-02-07 00:00:00",192539097.046,208556170.923,216723173.562274
"2018-02-08 00:00:00",191603524.257,205540633.563,203954177.761682
