;PW + Busse/Car;;;;;;;;;;LW;;;;;;;;;;Gesamtergebnis;;;;;;;;;
Datum;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL
2006.208333;69927.96033;5068.940793;NA;30419.64689;1749.668988;12193.99266;66090.30751;NA;NA;NA;2402.726428;407.5929672;NA;3349.703735;178.8810147;2698.390724;1939.771017;NA;NA;NA;72329.1645;5465.821892;64969.02671;34743.72272;1928.550002;14892.38338;68403.51985;NA;NA;NA
2006.229167;70319.54899;4635.564711;NA;29815.25749;1710.477555;11832.81145;67777.27266;NA;NA;NA;2639.518194;435.2444665;NA;3493.672835;213.3372536;2892.105191;2270.833368;NA;NA;NA;72957.60256;5059.821406;66091.73571;33984.88466;1923.814808;14724.91665;71100.98863;NA;NA;NA
2006.25;69964.74466;4736.94034;NA;32488.63328;1751.235048;12736.87897;70158.90527;NA;NA;NA;2703.371944;429.9266093;NA;3828.407957;187.7080854;2832.926522;2280.258943;NA;NA;NA;72666.7096;5155.603274;67078.87111;36465.80398;1938.943133;15569.80549;73739.10852;NA;NA;NA
2006.270833;65241.74136;7734.944837;NA;36078.00945;2417.625879;15950.56715;65866.56487;NA;NA;NA;2105.139267;361.3889719;NA;2838.200895;161.6907292;2248.937492;1820.871363;NA;NA;NA;67345.60502;8084.715194;64778.52348;39118.41845;2579.316609;18199.50464;68612.36607;NA;NA;NA
2006.291667;66816.65313;9013.863256;NA;35197.63267;3236.663224;16606.43016;64054.49148;NA;NA;NA;2205.266987;407.5814193;NA;2934.080304;185.4492589;2188.968865;1821.910758;NA;NA;NA;69020.77592;9409.471122;62722.79514;38181.12571;3422.112483;18795.39902;66010.12105;NA;NA;NA
2006.3125;66892.98872;6211.672641;NA;34459.66247;2431.172079;14712.61101;64818.17421;NA;NA;NA;2211.262152;376.0737151;NA;2558.432816;218.9796792;2128.805398;1911.487088;NA;NA;NA;69103.23807;6575.417863;62729.20946;37142.19524;2650.151758;16841.41641;66917.59338;NA;NA;NA
2006.333333;68557.58234;4722.710999;NA;33223.77202;1867.328945;12699.97187;60704.40609;NA;NA;NA;2551.402888;419.0292205;NA;3124.309784;195.1679383;2632.397513;702.9568136;NA;NA;NA;71108.16505;5129.292811;64475.34299;36544.70327;2062.496883;15332.36938;68782.41552;NA;NA;NA
2006.354167;69609.00828;4350.549523;NA;33256.23876;1766.356924;12226.38125;60282.81655;NA;NA;NA;2756.619678;428.729758;NA;3637.058183;215.3527379;2762.225594;645.3775197;NA;NA;NA;72365.0004;4766.712956;65986.19004;36784.86782;1981.709662;14988.60685;68209.39376;NA;NA;NA
2006.375;69061.21448;3584.51191;NA;33340.73953;1874.521202;12175.81982;60934.48384;NA;NA;NA;2811.340451;436.8028046;NA;3541.020577;223.8955385;2861.029257;706.8139455;NA;NA;NA;71872.11999;4008.629525;65750.78633;36555.79489;2098.41674;15036.84907;69482.21323;NA;NA;NA
2006.395833;64610.29806;8248.513188;NA;37160.95813;3200.697023;15338.23173;59540.86006;NA;NA;NA;2176.876907;473.6888865;NA;3312.592147;214.2682794;2463.409201;606.3794539;NA;NA;NA;66786.96813;8709.354641;63625.4284;39988.5818;3414.965303;17801.64093;67373.0783;NA;NA;NA
2006.416667;67121.49902;14355.23608;NA;33926.36073;3703.207453;811.3634935;59067.98376;NA;NA;NA;2349.483842;1200.874675;NA;1659.985528;498.0535571;429.8085685;571.1907254;NA;NA;NA;69471.00413;15566.74128;63059.50827;35021.5444;4201.26101;1241.172062;70343.17954;NA;NA;NA
2006.4375;69653.96918;11303.83539;NA;32971.20236;2975.246482;2294.800722;59008.01344;NA;NA;NA;2714.181549;1639.54186;NA;2176.919088;552.1260115;189.4734306;587.3226028;NA;NA;NA;72368.4001;13013.87091;61896.82175;34416.7947;3527.372494;2484.274153;69039.99424;NA;NA;NA
2006.458333;68081.268;10600.06922;NA;32094.6084;2633.843518;3252.546513;58786.34458;NA;NA;NA;2567.413104;1648.03874;NA;2239.292388;503.6800015;174.1228772;568.1167186;NA;NA;NA;70649.14659;12312.15434;63698.67721;33729.72542;3137.52352;3426.66939;68387.12299;NA;NA;NA
2006.479167;68007.9314;9556.892071;NA;32214.88498;2472.118313;3656.334598;58240.60005;NA;NA;NA;2563.720194;1560.252266;NA;2387.033984;467.1445695;387.0120572;550.2246524;NA;NA;NA;70572.3332;11201.54026;64217.91641;33764.31801;2939.262882;4043.346655;67958.37608;NA;NA;NA
2006.5;68142.5526;4840.285284;NA;34729.25274;2318.648416;11949.80416;58080.31495;NA;NA;NA;2508.898693;415.8442769;NA;3155.766294;217.7536548;2322.612339;534.8807728;NA;NA;NA;70652.34901;5351.085854;64722.61475;36691.09381;2536.402071;14272.4165;66472.38039;NA;NA;NA
2006.520833;67743.83696;4960.659745;NA;38467.69506;2789.330529;13423.48637;58024.80006;NA;NA;NA;2340.45338;368.4874235;NA;3137.415128;194.4590024;2363.467484;550.35361;NA;NA;NA;70085.34294;5416.381322;65175.75617;39834.34588;2983.789531;15786.95386;67484.25259;NA;NA;NA
2006.541667;68742.39179;4179.21246;NA;38502.55069;2757.724171;11992.67726;58234.35354;NA;NA;NA;2561.56909;393.1129556;NA;3267.537232;201.5273455;2442.740358;555.5896575;NA;NA;NA;71305.16836;4649.985113;64810.74509;39831.0229;2959.251516;14435.41762;67470.90784;NA;NA;NA
2006.5625;66083.92341;4284.846021;NA;39698.60874;3045.479052;12945.81279;58554.50042;NA;NA;NA;2235.215446;348.7806621;NA;2789.269101;172.8497641;2176.593229;575.8412879;NA;NA;NA;68320.50122;4718.160982;63904.26013;40323.29956;3218.328816;15122.40602;63010.95627;NA;NA;NA
2006.583333;64546.46607;5101.154445;NA;35760.72231;2650.67179;13448.04582;60061.11864;NA;NA;NA;2414.150542;410.5941613;NA;3108.585324;206.8182271;2491.763172;700.9158375;NA;NA;NA;66962.0331;5503.457435;64511.54934;37308.95605;2857.490017;15939.80899;68016.81895;NA;NA;NA
2006.604167;66247.47358;5100.368346;NA;32839.26003;2665.875404;13082.85063;58444.05189;NA;NA;NA;2505.723997;455.0365104;NA;2565.88408;197.7860477;2551.533617;597.9632391;NA;NA;NA;68754.66819;5539.860542;65751.2993;34484.2262;2863.661451;15634.38424;68845.241;NA;NA;NA
2006.625;67446.19518;4717.304595;NA;32557.83026;2277.082301;12684.03859;58021.68336;NA;NA;NA;2412.653875;419.9503348;NA;2274.726131;177.21851;2449.592985;584.8432664;NA;NA;NA;69860.3738;5121.262547;66359.49372;33891.82298;2454.300811;15133.63158;68449.48015;NA;NA;NA
2006.645833;68180.06931;4380.124995;NA;33164.22618;2272.940109;14920.63984;57651.14967;NA;NA;NA;2643.644403;313.723081;NA;2940.058514;165.6417711;2757.938227;550.0342911;NA;NA;NA;70825.23173;4677.433148;67468.4069;35043.22516;2438.581881;17678.57807;68469.11954;NA;NA;NA
